Título,Autor,Idioma original,Año de publicación,Ventas,Género
THE GINGER MAN,J. P. Donleavy,English,1955,50 million,Novel
THE PURPOSE DRIVEN LIFE,Rick Warren,English,2002,50 million,Philosophical Manual
THE TALE OF PETER RABBIT,Beatrix Potter,English,1902,45 million,Children's literature
JONATHAN LIVINGSTON SEAGULL,Richard Bach,English,1970,44 million,"Novella, self-help"
THE VERY HUNGRY CATERPILLAR,Eric Carle,English,1969,43 million,"Children's literature, picture book"
A MESSAGE TO GARCIA,Elbert Hubbard,English,1899,40 million,Essay/literature
TO KILL A MOCKINGBIRD,Harper Lee,English,1960,40 million,"Southern Gothic, Bildungsroman"
FLOWERS IN THE ATTIC,V. C. Andrews,English,1979,40 million,"Gothic horror, family saga"
COSMOS,Carl Sagan,English,1980,40 million,"Popular science, anthropology, astrophysics, cosmology, philosophy, history"
SOPHIE'S WORLD,Jostein Gaarder,Norwegian,1991,40 million,"Philosophical novel, Young adult"
ANGELS & DEMONS,Dan Brown,English,2000,39 million,mystery-thriller
ALCOHOLICS ANONYMOUS,William Griffith Wilson,English,1939,over 37 million,Self-help
KANE AND ABEL,Jeffrey Archer,English,1979,37 million,Novel
HOW THE STEEL WAS TEMPERED,Nikolai Ostrovsky,Russian,1932,36.4 million copies in USSR,Socialist realist novel
WAR AND PEACE,Leo Tolstoy,Russian,1869,36 million copies in Russia,Historical novel
THE ADVENTURES OF PINOCCHIO,Carlo Collodi,Italian,1881,35 million,"Fantasy, children's fiction"
THE DIARY OF ANNE FRANK,Anne Frank,Dutch,1947,35 million,"Historical non-fiction, autobiography, memoir, bildungsroman / coming of age, Jewish literature"
YOUR ERRONEOUS ZONES,Wayne Dyer,English,1976,35 million,Self-help
THE THORN BIRDS,Colleen McCullough,English,1977,33 million,Romantic family saga
THE KITE RUNNER,Khaled Hosseini,English,2003,31.5 million,"Bildungsroman, historical fiction"
VALLEY OF THE DOLLS,Jacqueline Susann,English,1966,31 million,Novel
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,Dale Carnegie,English,1936,Over 30 million,Self-help
THE GREAT GATSBY,F. Scott Fitzgerald,English,1925,30 million,"Novel, tragedy"
GONE WITH THE WIND,Margaret Mitchell,English,1936,30 million,Historical fiction
REBECCA,Daphne du Maurier,English,1938,30 million,Gothic novel
THE REVOLT OF MAMIE STOVER,William Bradford Huie,English,1951,30 million,Fiction
THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Swedish,2005,30 million,Fiction
THE LOST SYMBOL,Dan Brown,English,2009,30 million,Fiction
THE HUNGER GAMES,Suzanne Collins,English,2008,29 million in US,Young adult fiction
JAMES AND THE GIANT PEACH,Roald Dahl,English,1961,28 million,Children's novel
THE YOUNG GUARD,Alexander Alexandrovich Fadeyev,Russian,1945,26 million copies in USSR,Young adult historical novel
WHO MOVED MY CHEESE?,Spencer Johnson,English,1998,28,"Self-help, motivational, business fable, psychology, leadership, parable"
A BRIEF HISTORY OF TIME,Stephen Hawking,English,1988,25 million,Popular science
PAUL ET VIRGINIE,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25 million,Novel
LUST FOR LIFE,Irving Stone,English,1934,25 million,Biographical novel
THE WIND IN THE WILLOWS,Kenneth Grahame,English,1908,25 million,Children's literature
THE 7 HABITS OF HIGHLY EFFECTIVE PEOPLE,Stephen R. Covey,English,1989,25 million,Self-help
TOTTO-CHAN: THE LITTLE GIRL AT THE WINDOW,Tetsuko Kuroyanagi,Japanese,1981,25 million,Autobiographical novel
VIRGIN SOIL UPTURNED,Mikhail Sholokhov,Russian,1935,24 million copies in USSR,Novel
THE CELESTINE PROPHECY,James Redfield,English,1993,23 million,New-age spiritual novel
THE FAULT IN OUR STARS,John Green,English,2012,23 million,Young adult romantic novel
THE GIRL ON THE TRAIN,Paula Hawkins,English,2015,23 million,Thriller
THE SHACK,William P. Young,English,2007,22.5 million,Novel
UNCLE STYOPA,Sergey Mikhalkov,Russian,1936,21 million copies in USSR,"Children's Literature, picture book"
THE GODFATHER,Mario Puzo,English,1969,21 million,Crime novel
LOVE STORY,Erich Segal,English,1970,21 million,Romance novel
CATCHING FIRE,Suzanne Collins,English,2009,21 million in US,"Young adult novel, adventure, dystopian, science fiction"
MOCKINGJAY,Suzanne Collins,English,2010,20 million in US,"Young Adult novel, adventure, war, science fiction, action thriller"
KITCHEN,Banana Yoshimoto,Japanese,1988,20 million,Japanese novel
ANDROMEDA NEBULA,Ivan Yefremov,Russian,1957,20 million,Science fiction novel
GONE GIRL,Gillian Flynn,English,2012,20 million,Crime thriller novel
THE BERMUDA TRIANGLE,Charles Berlitz,English,1974,20 million,
THINGS FALL APART,Chinua Achebe,English,1958,20 million,Novel
WOLF TOTEM,Jiang Rong,Chinese,2004,20 million,Semi-autobiographical novel
THE HAPPY HOOKER: MY OWN STORY,Xaviera Hollander,English,1971,20 million,Memoir
JAWS,Peter Benchley,English,1974,20 million,Thriller
LOVE YOU FOREVER,Robert Munsch,English,1986,20 million,"Children's literature, picture book, fiction"
THE WOMEN'S ROOM,Marilyn French,English,1977,20 million,Feminist novel
WHAT TO EXPECT WHEN YOU'RE EXPECTING,Arlene Eisenberg and Heidi Murkoff,English,1984,20 million,Pregnancy guide
ADVENTURES OF HUCKLEBERRY FINN,Mark Twain,English,1885,20 million,"Picaresque novel, Bildungsroman, satire, Robinsonade"
"THE SECRET DIARY OF ADRIAN MOLE, AGED 13¾",Sue Townsend,English,1982,20 million,Young adult novel
PRIDE AND PREJUDICE,Jane Austen,English,1813,20 million,"Classic regency novel, romance"
KON-TIKI: ACROSS THE PACIFIC IN A RAFT,Thor Heyerdahl,Norwegian,1950,20 million,Travel literature
THE GOOD SOLDIER ŠVEJK,Jaroslav Hašek,Czech,1923,20 million,Unfinished satirical dark comedy novel
WHERE THE WILD THINGS ARE,Maurice Sendak,English,1963,20 million,Children's picture book
THE POWER OF POSITIVE THINKING,Norman Vincent Peale,English,1952,20 million,Self-help
THE SECRET,Rhonda Byrne,English,2006,20 million,Self-help
FEAR OF FLYING,Erica Jong,English,1973,20 million,Romantic novel
DUNE,Frank Herbert,English,1965,20 million,Science fiction novel
CHARLIE AND THE CHOCOLATE FACTORY,Roald Dahl,English,1964,20 million,Children's fantasy novel
THE NAKED APE,Desmond Morris,English,1968,20 million,"Social Science, Anthropology, Psychology"
KOKORO,Natsume Sōseki,Japanese,1914,20 million,Novel
WHERE THE CRAWDADS SING,Delia Owens,English,2018,18 million,"Coming-of-age, murder mystery"
FOLLOW YOUR HEART,Susanna Tamaro,Italian,1994,18 million,"Sentimental, epistolary novel"
MATILDA,Roald Dahl,English,1988,17 million,Children's literature
THE BOOK THIEF,Markus Zusak,English,2005,16 million,Young adult fiction
THE HORSE WHISPERER,Nicholas Evans,English,1995,16 million,
GOODNIGHT MOON,Margaret Wise Brown,English,1947,16 million,Children's literature
THE NEVERENDING STORY,Michael Ende,German,1979,16 million,Children's literature
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,English,2014,15.3 million,"Historical fiction, war novel"
FIFTY SHADES OF GREY,E. L. James,English,2011,15.2 million in the U.S.,Erotica
THE OUTSIDERS,S. E. Hinton,English,1967,15 million,
GUESS HOW MUCH I LOVE YOU,Sam McBratney,English,1994,15 million,
SHŌGUN,James Clavell,English,1975,15 million,
THE POKY LITTLE PUPPY,Janette Sebring Lowrey,English,1942,15 million,
THE PILLARS OF THE EARTH,Ken Follett,English,1989,15 million,Historical fiction
PERFUME,Patrick Süskind,German,1985,15 million,
THE GRAPES OF WRATH,John Steinbeck,English,1939,15 million,
THE SHADOW OF THE WIND,Carlos Ruiz Zafón,Spanish,2001,15 million,
INTERPRETER OF MALADIES,Jhumpa Lahiri,English,2000,15 million,
BECOMING,Michelle Obama,English,2018,14 million,
THE HITCHHIKER'S GUIDE TO THE GALAXY,Douglas Adams,English,1979,14 million,Science fiction
TUESDAYS WITH MORRIE,Mitch Albom,English,1997,14 million,
GOD'S LITTLE ACRE,Erskine Caldwell,English,1933,14 million,
A WRINKLE IN TIME,Madeleine L'Engle,English,1962,14 million,
LONG WALK TO FREEDOM,Nelson Mandela,English,1994,14 million,
THE OLD MAN AND THE SEA,Ernest Hemingway,English,1952,13 million,
LIFE AFTER LIFE,Raymond Moody,English,1975,13 million,
MOMO,Michael Ende,German,1973,13 million,Children's literature
PEYTON PLACE,Grace Metalious,English,1956,12.1 million,
THE GIVER,Lois Lowry,English,1993,12 million,Dystopian fiction
ME BEFORE YOU,Jojo Moyes,English,2012,12 million,
NORWEGIAN WOOD,Haruki Murakami,Japanese,1987,12 million,
THE PLAGUE,Albert Camus,French,1947,12 million,
NO LONGER HUMAN,Osamu Dazai,Japanese,1948,12 million,
MAN'S SEARCH FOR MEANING,Viktor Frankl,German,1946,12 million,
THE SUBTLE ART OF NOT GIVING A FUCK,Mark Manson,English,2016,12 million,
THE DIVINE COMEDY,Dante Alighieri,Italian,1304,11–12 million,
THE PROPHET,Kahlil Gibran,English,1923,11 million,
THE BOY IN THE STRIPED PYJAMAS,John Boyne,English,2006,11 million,
THE EXORCIST,William Peter Blatty,English,1971,11 million,Horror
THE GRUFFALO,Julia Donaldson,English,1999,10.5 million,"Children's literature, picture book"
FIFTY SHADES DARKER,E. L. James,English,2012,10.4 million in the U.S.,Erotica
TOBACCO ROAD,Erskine Caldwell,English,1932,10 million,
"RONIA, THE ROBBER'S DAUGHTER",Astrid Lindgren,Swedish,1981,10 million,
THE CAT IN THE HAT,Dr. Seuss,English,1957,10.5 million,"Children's literature, picture book"
DIANA: HER TRUE STORY,Andrew Morton,English,1992,10 million,
THE HELP,Kathryn Stockett,English,2009,10 million,
CATCH-22,Joseph Heller,English,1961,10 million,
THE STRANGER,Albert Camus,French,1942,10 million,
EYE OF THE NEEDLE,Ken Follett,English,1978,10 million,
THE LOVELY BONES,Alice Sebold,English,2002,10 million,
WILD SWANS,Jung Chang,English,1992,10 million,
SANTA EVITA,Tomás Eloy Martínez,Spanish,1995,10 million,
NIGHT,Elie Wiesel,Yiddish,1958,10 million,
CONFUCIUS FROM THE HEART,Yu Dan,Chinese,2006,10 million,
THE TOTAL WOMAN,Marabel Morgan,English,1974,10 million,
KNOWLEDGE-VALUE REVOLUTION,Taichi Sakaiya,Japanese,1985,10 million,
PROBLEMS IN CHINA'S SOCIALIST ECONOMY,Xue Muqiao,Chinese,1979,10 million,
WHAT COLOR IS YOUR PARACHUTE?,Richard Nelson Bolles,English,1970,10 million,
THE DUKAN DIET,Pierre Dukan,French,2000,10 million,
THE JOY OF SEX,Alex Comfort,English,1972,10 million,
THE GOSPEL ACCORDING TO PEANUTS,Robert L. Short,English,1965,10 million,
LIFE OF PI,Yann Martel,English,2001,10 million,
THE FRONT RUNNER,Patricia Nell Warren,English,1974,10 million,
THE GOAL,Eliyahu M. Goldratt,English,1984,10 million,
FAHRENHEIT 451,Ray Bradbury,English,1953,10 million,
ANGELA'S ASHES,Frank McCourt,English,1996,10 million,
THE STORY OF MY EXPERIMENTS WITH TRUTH,Mohandas Karamchand Gandhi,Gujarati,1925–1929,10 million,
BRIDGET JONES'S DIARY,Helen Fielding,English,1996,10 million,
IT ENDS WITH US,Colleen Hoover,English,2016,10 million,"Romance, Fiction"
